Appendix A. Acceptable Acute Toxicity Data of Aluminum to Freshwater Aquatic Animals,,,,,,,,,,,,,,,,,,
,,,,,,,,,Values in bold used in SMAV calculation,,,,,,,,,
Species,Methoda,Total Hardness (mg/L as CaCO3),pH,"DOC
(mg/L)",,LC50 or EC50 Conc. (µg/L),Reference,,"Normalized Conc. - LC50
(µg/L)",Reason excluded from SMAV,,"Species Mean Acute Value
(µg/L)","Genus Mean Acute Value
(µg/L)",,Genus,,DOC Note,Dilution water
,,,,,,,,,,,,,,,,,,
"Worm, Nais elinguis","R, M, T",17.8900,6.5100,3.200,,"3,874.000","Shuhaimi-Othman et al. 2012a, 2013",,"6,098",,,"6,098","6,098",,Nais,Invert,Value is from Shuhaimi-Othman et al. 2013,Tap water (Malaysia)
,,,,,,,,,,,,,,,,,,
"Snail, Physa sp. ","S, M, T",47.4000,6.5900,1.100,>,"23,400.000",Call 1984; Call et al. 1984,>,"34,771",,,-,,,Physa,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
"Snail, Physa sp. ","S, M, T",47.4000,7.5500,1.100,,"30,600.000",Call 1984; Call et al. 1984,,"17,888",,,-,,,Physa,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
"Snail, Physa sp. ","S, M, T",47.4000,8.1700,1.100,>,"24,700.000",Call 1984; Call et al. 1984,>,"12,787",c,,-,,,Physa,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
"Snail, Physa sp. ","S, M, T",47.4000,7.4600,1.100,,"55,500.000",Call 1984; Call et al. 1984,,"34,074",,,"27,674","27,674",,Physa,Mollusk,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
,,,,,,,,,,,,,,,,,,
"Snail, Melanoides tuberculata","R, M, T",18.7200,6.6800,3.200,,"68,230.000","Shuhaimi-Othman et al. 2012b, 2013",,"78,956",,,"78,956","78,956",,Melanoides,Mollusk,Value is from Shuhaimi-Othman et al. 2013,Tap water (Malaysia)
,,,,,,,,,,,,,,,,,,
"Fatmucket, Lampsilis siliquoidea","R, M, T",107.0000,8.1900,0.500,>,"54,300.000",Ivey et al. 2014,>,"38,170",f,,-,,,Lampsilis,,Author reported,Well water/deionized water mix
"Fatmucket, Lampsilis siliquoidea","F, M, T",106.0000,6.1200,0.480,>,"6,302.000","Wang et al. 2016, 2018",>,"19,498",,>,"19,498","19,498",>,Lampsilis,Mollusk,Author reported,Well water/deionized water mix
,,,,,,,,,,,,,,,,,,
"Cladoceran, Ceriodaphnia dubia","S, M, A",50.0000,7.4200,1.100,,"1,900.000",McCauley et al. 1986,,"1,171",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
"Cladoceran, Ceriodaphnia dubia","S, M, A",50.5000,7.8600,1.100,,"1,500.000",McCauley et al. 1986,,773,,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,UW-S Lake Superior lab water
"Cladoceran, Ceriodaphnia dubia","S, M, A",50.0000,8.1300,1.100,,"2,560.000",McCauley et al. 1986,,"1,305",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Raw Lake Superior water
"Cladoceran, Ceriodaphnia dubia","R, M, T",25.0000,7.5000,0.500,,720.000,ENSR 1992d,,873,,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","R, M, T",49.0000,7.6500,0.500,,"1,880.000",ENSR 1992d,,"1,664",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, M, T",95.0000,7.9000,0.500,,"2,450.000",ENSR 1992d,,"1,692",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Mod Hard Lab Recon water
"Cladoceran, Ceriodaphnia dubia","R, M, T",193.0000,8.0500,0.500,>,"99,600.000",ENSR 1992d,>,"58,796",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Hard Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, NR",90.0000,7.1500,0.500,,"3,727.000",Fort and Stover 1995,,"3,467",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Mod Hard Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, NR",90.0000,7.1500,0.500,,"5,673.000",Fort and Stover 1995,,"5,277",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Mod Hard Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, NR",89.0000,8.2000,0.500,,"2,880.000",Soucek et al. 2001,,"2,108",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Mod Hard Lab Recon water
"Cladoceran, Ceriodaphnia dubia","R, U, T",142.0000,8.2000,1.600,,"153,440.000",Griffitt et al. 2008,,"51,019",,,,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,"Tap water (Gainesville, FL)"
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.0100,0.500,,71.120,European Al Association 2009,,"1,328",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.0500,2.000,,686.500,European Al Association 2009,,"5,105",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.0900,4.000,,"1,558.100",European Al Association 2009,,"6,987",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.0100,0.500,,68.100,European Al Association 2009,,"1,272",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.0300,0.500,,163.000,European Al Association 2009,,"2,905",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,5.9700,0.500,,178.500,European Al Association 2009,,"3,667",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,5.9200,0.500,,141.000,European Al Association 2009,,"3,269",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.9900,0.500,>,"1,300.000",European Al Association 2009,>,"3,862",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,7.8500,0.500,>,"5,000.000",European Al Association 2009,>,"6,436",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.8000,2.000,>,"10,000.000",European Al Association 2009,>,"17,230",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,7.8200,2.000,>,"15,000.000",European Al Association 2009,>,"8,584",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,6.7700,4.000,>,"10,000.000",European Al Association 2009,>,"11,950",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,7.6600,4.000,>,"15,000.000",European Al Association 2009,>,"6,306",,,-,,,Ceriodaphnia,,Author reported,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,7.9000,0.500,>,"2,000.000",European Al Association 2009,>,"2,508",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",10.6000,7.8900,0.500,>,"2,000.000",European Al Association 2009,>,"2,520",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Very Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",60.0000,6.0400,0.500,,110.800,European Al Association 2009,,574,,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",60.0000,5.9800,2.000,,"1,137.100",European Al Association 2009,,"2,893",,,-,,,Ceriodaphnia,,Author reported,Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",60.0000,5.7300,4.000,,"8,046.700",European Al Association 2009,,"22,944",,,-,,,Ceriodaphnia,,Author reported,Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",60.0000,6.7100,0.500,>,"10,000.000",European Al Association 2009,>,"17,718",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Soft Lab Recon water
"Cladoceran, Ceriodaphnia dubia","S, U, T",60.0000,7.8300,0.500,>,"5,000.000",European Al Association 2009,>,"3,950",,,-,,,Ceriodaphnia,,Value is from 2007 FW Cu AWQC Appendix C recommendation,Soft Lab Recon water
